,Stock,Type,Start Date,End Date,Seed,Open,High,Low,Close,Volume
0,^GSPTSE,GRU,2022-01-01,2024-01-01,1,0.086217172,0.115406337,0.116687245,0.141634743,0.160888046
1,^GSPTSE,GRU,2022-01-01,2024-01-01,2,0.096267915,0.11800754,0.097113183,0.162174739,0.169055494
2,^GSPTSE,GRU,2022-01-01,2024-01-01,3,0.192256324,0.137260022,0.126190049,0.143512378,0.165919033
3,^GSPTSE,GRU,2022-01-01,2024-01-01,4,0.109808168,0.139537523,0.15936392,0.19422261,0.196166194
4,^GSPTSE,GRU,2022-01-01,2024-01-01,5,0.062496345,0.18429583,0.32509367,0.265370576,0.179245791
5,^GSPTSE,GRU,2022-01-01,2024-01-01,6,0.249124488,0.381013449,0.103059893,0.163850284,0.189332267
6,^GSPTSE,GRU,2022-01-01,2024-01-01,7,0.2601799,0.257689752,0.318537004,0.218920067,0.163927636
7,^GSPTSE,GRU,2022-01-01,2024-01-01,8,0.166962344,0.160215146,0.112827982,0.336159381,0.203036969
8,^GSPTSE,GRU,2022-01-01,2024-01-01,9,0.202246565,0.209684798,0.298058351,0.283421847,0.190633567
9,^GSPTSE,GRU,2022-01-01,2024-01-01,10,0.29823207,0.141905044,0.10883166,0.170445706,0.17587296
10,^GSPTSE,GRU,2022-01-01,2024-01-01,11,0.197203893,0.201906218,0.18289601,0.219812777,0.161977968
11,^GSPTSE,GRU,2022-01-01,2024-01-01,12,0.204082017,0.257999163,0.308890301,0.145297037,0.174254248
12,^GSPTSE,GRU,2022-01-01,2024-01-01,13,0.106695986,0.167763324,0.206544235,0.29633875,0.182416284
13,^GSPTSE,GRU,2022-01-01,2024-01-01,14,0.201199314,0.24125624,0.187476227,0.277473314,0.167048442
14,^GSPTSE,GRU,2022-01-01,2024-01-01,15,0.087583351,0.150670847,0.126827256,0.243318092,0.172006427
15,^GSPTSE,GRU,2022-01-01,2024-01-01,16,0.082454219,0.109406814,0.111150211,0.137088448,0.163424715
16,^GSPTSE,GRU,2022-01-01,2024-01-01,17,0.078451982,0.126037005,0.101774008,0.163729982,0.16826636
17,^GSPTSE,GRU,2022-01-01,2024-01-01,18,0.100980075,0.168145824,0.138237729,0.219350256,0.169863298
18,^GSPTSE,GRU,2022-01-01,2024-01-01,19,0.072326952,0.218399287,0.259584519,0.223238951,0.185948969
19,^GSPTSE,GRU,2022-01-01,2024-01-01,20,0.090644251,0.121680963,0.217004422,0.225504653,0.228456159
20,^GSPTSE,GRU,2022-01-01,2024-01-01,21,0.125939573,0.15853233,0.138240638,0.326963778,0.164830519
21,^GSPTSE,GRU,2022-01-01,2024-01-01,22,0.241327428,0.310835775,0.348515571,0.308514334,0.189375292
22,^GSPTSE,GRU,2022-01-01,2024-01-01,23,0.074308443,0.123103906,0.152576662,0.168467264,0.179016147
23,^GSPTSE,GRU,2022-01-01,2024-01-01,24,0.155575114,0.154644006,0.273356463,0.324385438,0.197047353
24,^GSPTSE,GRU,2022-01-01,2024-01-01,25,0.14235053,0.171213142,0.117882637,0.182589058,0.170441901
25,^GSPTSE,GRU,2022-01-01,2024-01-01,26,0.096884765,0.175112962,0.100345954,0.16836777,0.16683974
26,^GSPTSE,GRU,2022-01-01,2024-01-01,27,0.322000119,0.221116759,0.298345968,0.298499847,0.160690111
27,^GSPTSE,GRU,2022-01-01,2024-01-01,28,0.135697354,0.137075903,0.165556398,0.172907547,0.166743489
28,^GSPTSE,GRU,2022-01-01,2024-01-01,29,0.261601912,0.236952903,0.259639039,0.33337427,0.18337673
29,^GSPTSE,GRU,2022-01-01,2024-01-01,30,0.242975497,0.291239556,0.1056924,0.342516132,0.164783523
30,^GSPTSE,GRU,2022-01-01,2024-01-01,31,0.078391182,0.135933122,0.14468276,0.140931171,0.160326196
31,^GSPTSE,GRU,2022-01-01,2024-01-01,32,0.098390358,0.166595845,0.104488174,0.166654475,0.163189391
32,^GSPTSE,GRU,2022-01-01,2024-01-01,33,0.118686429,0.226221099,0.097448368,0.146139674,0.162082186
33,^GSPTSE,GRU,2022-01-01,2024-01-01,34,0.119003117,0.285106361,0.175596439,0.142803692,0.165875034
34,^GSPTSE,GRU,2022-01-01,2024-01-01,35,0.085129819,0.119969262,0.171696405,0.165920539,0.161795983
35,^GSPTSE,GRU,2022-01-01,2024-01-01,36,0.111446578,0.111418916,0.178734308,0.19205948,0.188262507
36,^GSPTSE,GRU,2022-01-01,2024-01-01,37,0.376758865,0.462374009,0.289881281,0.262277811,0.160745942
37,^GSPTSE,GRU,2022-01-01,2024-01-01,38,0.257613946,0.220284327,0.237436271,0.167685594,0.163097892
38,^GSPTSE,GRU,2022-01-01,2024-01-01,39,0.110979407,0.147917558,0.135379325,0.165050025,0.162995573
39,^GSPTSE,GRU,2022-01-01,2024-01-01,40,0.236053536,0.154105769,0.276283697,0.495657491,0.18670144
