,Stock,Type,Start Date,End Date,Seed,Open,High,Low,Close,Volume
0,^GSPTSE,LSTM,2022-01-01,2024-01-01,1,0.21072897,0.202327029,0.184165727,0.224271949,0.175044624
1,^GSPTSE,LSTM,2022-01-01,2024-01-01,2,0.285994642,0.281751102,0.292457205,0.314974941,0.175951714
2,^GSPTSE,LSTM,2022-01-01,2024-01-01,3,0.148817432,0.170691324,0.146256303,0.181698832,0.171992628
3,^GSPTSE,LSTM,2022-01-01,2024-01-01,4,0.161575793,0.171625124,0.152234289,0.174267067,0.172360633
4,^GSPTSE,LSTM,2022-01-01,2024-01-01,5,0.15601782,0.223545969,0.375084794,0.301847572,0.171467999
5,^GSPTSE,LSTM,2022-01-01,2024-01-01,6,0.245626322,0.221398815,0.304719736,0.255201721,0.176566613
6,^GSPTSE,LSTM,2022-01-01,2024-01-01,7,0.216993536,0.229682318,0.294904997,0.277195532,0.17299308
7,^GSPTSE,LSTM,2022-01-01,2024-01-01,8,0.152020537,0.183955904,0.160827467,0.176956167,0.175016909
8,^GSPTSE,LSTM,2022-01-01,2024-01-01,9,0.200657763,0.243320767,0.21819565,0.255265843,0.173262093
9,^GSPTSE,LSTM,2022-01-01,2024-01-01,10,0.252377482,0.233436964,0.192506539,0.253660198,0.172769797
10,^GSPTSE,LSTM,2022-01-01,2024-01-01,11,0.348924461,0.352535758,0.366489123,0.350790913,0.171589623
11,^GSPTSE,LSTM,2022-01-01,2024-01-01,12,0.326386355,0.339189387,0.376600632,0.340120265,0.171669655
12,^GSPTSE,LSTM,2022-01-01,2024-01-01,13,0.240091915,0.190423115,0.314965312,0.247957229,0.17770364
13,^GSPTSE,LSTM,2022-01-01,2024-01-01,14,0.161616478,0.166216204,0.155020155,0.166716439,0.174207897
14,^GSPTSE,LSTM,2022-01-01,2024-01-01,15,0.234221342,0.296719917,0.315183553,0.348656089,0.171725123
15,^GSPTSE,LSTM,2022-01-01,2024-01-01,16,0.180451109,0.224869906,0.196988678,0.260279427,0.176318162
16,^GSPTSE,LSTM,2022-01-01,2024-01-01,17,0.142004508,0.193569683,0.154297744,0.178192468,0.171679096
17,^GSPTSE,LSTM,2022-01-01,2024-01-01,18,0.157436308,0.172851642,0.170824716,0.177355361,0.172278681
18,^GSPTSE,LSTM,2022-01-01,2024-01-01,19,0.275024829,0.256676992,0.240129933,0.240234368,0.172256703
19,^GSPTSE,LSTM,2022-01-01,2024-01-01,20,0.181079605,0.193250037,0.163713781,0.183422709,0.179112226
20,^GSPTSE,LSTM,2022-01-01,2024-01-01,21,0.174314979,0.175401624,0.148903956,0.193846486,0.170978781
21,^GSPTSE,LSTM,2022-01-01,2024-01-01,22,0.411021349,0.363891607,0.369151109,0.333497701,0.171272245
22,^GSPTSE,LSTM,2022-01-01,2024-01-01,23,0.156494845,0.187287231,0.172855956,0.213495704,0.175433344
23,^GSPTSE,LSTM,2022-01-01,2024-01-01,24,0.248524457,0.235893438,0.310814559,0.286089657,0.171678159
24,^GSPTSE,LSTM,2022-01-01,2024-01-01,25,0.302777463,0.303926563,0.255569786,0.330097981,0.174953893
25,^GSPTSE,LSTM,2022-01-01,2024-01-01,26,0.207336637,0.212461682,0.180596218,0.196655796,0.173161582
26,^GSPTSE,LSTM,2022-01-01,2024-01-01,27,0.530660676,0.470252426,0.507757882,0.436731553,0.171615164
27,^GSPTSE,LSTM,2022-01-01,2024-01-01,28,0.19453108,0.204243185,0.208554331,0.227544256,0.171599938
28,^GSPTSE,LSTM,2022-01-01,2024-01-01,29,0.180069263,0.210544793,0.180518529,0.222765075,0.173752067
29,^GSPTSE,LSTM,2022-01-01,2024-01-01,30,0.272260505,0.253080953,0.391414954,0.425697076,0.176724089
30,^GSPTSE,LSTM,2022-01-01,2024-01-01,31,0.148877202,0.169062365,0.157323377,0.175851192,0.175743114
31,^GSPTSE,LSTM,2022-01-01,2024-01-01,32,0.191029135,0.22253582,0.165294244,0.206137958,0.169635204
32,^GSPTSE,LSTM,2022-01-01,2024-01-01,33,0.193946305,0.175788063,0.187826111,0.210207419,0.171005891
33,^GSPTSE,LSTM,2022-01-01,2024-01-01,34,0.151037759,0.167987359,0.145419513,0.171334226,0.17518074
34,^GSPTSE,LSTM,2022-01-01,2024-01-01,35,0.220915636,0.251814996,0.253865976,0.298350239,0.170604445
35,^GSPTSE,LSTM,2022-01-01,2024-01-01,36,0.216856162,0.236881265,0.191425421,0.204644654,0.175229511
36,^GSPTSE,LSTM,2022-01-01,2024-01-01,37,0.176484056,0.188021842,0.202248518,0.177209634,0.175668125
37,^GSPTSE,LSTM,2022-01-01,2024-01-01,38,0.326128001,0.261434856,0.238416712,0.379976987,0.174606381
38,^GSPTSE,LSTM,2022-01-01,2024-01-01,39,0.15106691,0.200949607,0.189917177,0.215535257,0.17149615
39,^GSPTSE,LSTM,2022-01-01,2024-01-01,40,0.181886947,0.169193337,0.197572686,0.170005085,0.170454649
40,^GSPTSE,LSTM,2022-01-01,2024-01-01,41,0.148331276,0.16723497,0.177135087,0.185052307,0.171836805
41,^GSPTSE,LSTM,2022-01-01,2024-01-01,42,0.169021942,0.186709866,0.178918124,0.214101487,0.171160461
42,^GSPTSE,LSTM,2022-01-01,2024-01-01,43,0.20581717,0.213176667,0.218623027,0.225634797,0.173320401
43,^GSPTSE,LSTM,2022-01-01,2024-01-01,44,0.141877665,0.154826534,0.144585275,0.162683217,0.17864104
44,^GSPTSE,LSTM,2022-01-01,2024-01-01,45,0.22839053,0.354134291,0.293291054,0.424436121,0.171321683
45,^GSPTSE,LSTM,2022-01-01,2024-01-01,46,0.259335346,0.242361672,0.212744042,0.216124164,0.182417756
46,^GSPTSE,LSTM,2022-01-01,2024-01-01,47,0.160231217,0.198465513,0.173868497,0.168569084,0.176600532
47,^GSPTSE,LSTM,2022-01-01,2024-01-01,48,0.142980732,0.171229755,0.147303937,0.179636541,0.173230218
48,^GSPTSE,LSTM,2022-01-01,2024-01-01,49,0.1863382,0.181163513,0.233665681,0.21670366,0.171595627
49,^GSPTSE,LSTM,2022-01-01,2024-01-01,50,0.150622949,0.169632057,0.142261901,0.174314989,0.175392867
50,^GSPTSE,LSTM,2022-09-01,2024-09-01,1,0.275162986,0.294730557,0.317174187,0.289876625,0.277094642
51,^GSPTSE,LSTM,2022-09-01,2024-09-01,2,0.29054149,0.24349083,0.255380531,0.255803943,0.248906003
52,^GSPTSE,LSTM,2022-09-01,2024-09-01,3,0.300923664,0.333340644,0.270332339,0.361704115,0.350000921
